strategy_name,horizon_label,total_signals,closed_trades,open_trades,win_rate_pct,avg_return_pct,median_return_pct,best_return_pct,worst_return_pct,avg_holding_days,low_sample_warning,direction
High Conviction,15D,11091,10886,205,52.91,2.14,0.7,99.55,-42.43,15.0,False,Bullish
High Conviction,30D,11086,10697,389,54.89,3.88,1.81,130.54,-53.19,30.0,False,Bullish
High Conviction,60D,11080,10142,938,56.95,6.6,3.34,160.63,-56.05,60.0,False,Bullish
High Conviction,7D,11095,11017,78,50.74,0.96,0.1,65.73,-41.28,7.0,False,Bullish
52W Low Opportunity,15D,9123,8862,261,50.52,1.63,0.13,106.15,-54.79,15.0,False,Bullish
52W Low Opportunity,30D,9123,8653,470,52.06,2.39,0.62,135.11,-59.81,30.0,False,Bullish
52W Low Opportunity,60D,9123,8216,907,54.16,4.34,1.85,168.82,-71.5,60.0,False,Bullish
52W Low Opportunity,7D,9123,9000,123,49.91,1.03,0.0,71.47,-47.31,7.0,False,Bullish
Swing Candidate,15D,23966,23230,736,49.36,1.29,-0.06,128.05,-59.51,15.0,False,Bullish
Swing Candidate,30D,23965,22618,1347,50.75,2.07,0.22,233.24,-63.44,30.0,False,Bullish
Swing Candidate,60D,23954,21551,2403,52.36,3.77,1.04,479.52,-67.24,60.0,False,Bullish
Swing Candidate,7D,23968,23637,331,48.43,0.59,-0.15,98.71,-52.94,7.0,False,Bullish
Near 52W High Momentum,15D,28418,28000,418,49.64,1.69,-0.07,117.38,-68.66,15.0,False,Bullish
Near 52W High Momentum,30D,28407,27509,898,51.83,3.38,0.64,217.32,-74.17,30.0,False,Bullish
Near 52W High Momentum,60D,28385,26641,1744,54.04,6.54,2.18,498.31,-78.72,60.0,False,Bullish
Near 52W High Momentum,7D,28427,28239,188,48.79,0.91,-0.17,90.65,-52.68,7.0,False,Bullish
Strong Fundamentals,15D,1629,1616,13,74.63,8.08,6.16,99.55,-24.9,15.0,False,Bullish
Strong Fundamentals,30D,1626,1613,13,78.43,11.18,8.43,130.58,-30.75,30.0,False,Bullish
Strong Fundamentals,60D,1625,1597,28,79.96,18.27,14.17,159.6,-53.27,60.0,False,Bullish
Strong Fundamentals,7D,1632,1622,10,69.67,4.51,3.72,59.96,-26.55,7.0,False,Bullish
Relative Strength Leader,15D,31451,30701,750,46.58,1.15,-0.69,147.36,-53.63,15.0,False,Bullish
Relative Strength Leader,30D,31438,29900,1538,48.4,2.38,-0.45,203.87,-69.66,30.0,False,Bullish
Relative Strength Leader,60D,31427,28427,3000,49.85,4.63,0.0,373.49,-76.9,60.0,False,Bullish
Relative Strength Leader,7D,31458,31130,328,46.09,0.5,-0.55,108.43,-39.57,7.0,False,Bullish
Low Risk Quality,15D,14997,14694,303,51.03,1.73,0.24,124.17,-68.66,15.0,False,Bullish
Low Risk Quality,30D,14994,14339,655,53.0,3.22,0.95,144.62,-74.17,30.0,False,Bullish
Low Risk Quality,60D,14989,13517,1472,53.23,5.71,1.39,220.89,-75.1,60.0,False,Bullish
Low Risk Quality,7D,15002,14879,123,50.6,0.95,0.09,66.67,-52.68,7.0,False,Bullish
Range Accumulation Zone,15D,52771,51798,973,49.24,1.35,-0.14,127.95,-61.89,15.0,False,Bullish
Range Accumulation Zone,30D,52757,50928,1829,49.75,2.17,-0.05,217.57,-77.82,30.0,False,Bullish
Range Accumulation Zone,60D,52715,49470,3245,51.77,4.33,0.82,447.44,-79.18,60.0,False,Bullish
Range Accumulation Zone,7D,52782,52367,415,49.21,0.75,-0.07,118.53,-58.12,7.0,False,Bullish
Range Profit Booking Zone,15D,60939,59501,1438,46.96,1.16,-0.63,162.19,-57.55,15.0,False,Bearish
Range Profit Booking Zone,30D,60912,57996,2916,48.2,2.29,-0.58,217.32,-79.74,30.0,False,Bearish
Range Profit Booking Zone,60D,60866,55190,5676,49.83,4.54,-0.05,348.57,-83.06,60.0,False,Bearish
Range Profit Booking Zone,7D,60955,60348,607,45.91,0.45,-0.6,112.64,-55.5,7.0,False,Bearish
Range Breakdown Risk,15D,23419,23170,249,53.69,2.37,1.03,128.05,-69.7,15.0,False,Bearish
Range Breakdown Risk,30D,23417,22971,446,54.2,3.26,1.5,191.28,-76.26,30.0,False,Bearish
Range Breakdown Risk,60D,23402,22676,726,57.66,6.46,3.68,421.4,-79.19,60.0,False,Bearish
Range Breakdown Risk,7D,23422,23311,111,51.95,1.24,0.34,99.42,-54.37,7.0,False,Bearish
Avoid / Risky,15D,46828,45768,1060,48.56,1.26,-0.25,148.41,-69.7,15.0,False,Bearish
Avoid / Risky,30D,46811,44574,2237,49.83,2.5,0.0,189.25,-77.77,30.0,False,Bearish
Avoid / Risky,60D,46796,41845,4951,50.74,4.56,0.36,366.13,-81.97,60.0,False,Bearish
Avoid / Risky,7D,46835,46327,508,48.08,0.55,-0.22,118.53,-54.37,7.0,False,Bearish
